#{"t_start": 1753092874.759268, "env_id": "None"}
r,l,t
-3.0,11,0.944022
-5.0,11,0.944313
-2.0,11,0.944563
-2.0,11,0.944797
-5.0,11,0.945037
-5.0,11,0.94528
-2.0,11,0.94552
-3.0,11,0.945743
-3.0,11,0.945982
-3.0,11,0.997083
-5.0,11,0.999027
-4.0,11,1.000591
-3.0,11,1.002407
-3.0,11,1.004143
-4.0,11,1.005883
-3.0,11,1.007179
-5.0,11,1.008822
-2.0,11,1.01047
-4.0,11,1.012201
-4.0,11,1.013387
0.0,11,1.014906
-3.0,11,1.016708
-3.0,11,1.018269
-4.0,11,1.019378
-4.0,11,1.020906
-3.0,11,1.02241
-4.0,11,1.023965
-3.0,11,1.025069
-4.0,11,1.026591
-3.0,11,1.028092
-3.0,11,1.029614
-4.0,11,1.030717
-3.0,11,1.032294
-4.0,11,1.033799
-2.0,11,1.035274
-6.0,11,1.036357
-3.0,11,1.037879
-3.0,11,1.039376
-4.0,11,1.040942
-3.0,11,1.04222
-4.0,11,1.043754
-3.0,11,1.045635
-2.0,11,1.047139
-4.0,11,1.048379
-4.0,11,1.049909
-3.0,11,1.051458
-4.0,11,1.052995
-4.0,11,1.054109
-2.0,11,1.055605
-2.0,11,1.057185
-1.0,11,1.059102
-4.0,11,1.060212
-4.0,11,1.061719
-3.0,11,1.063315
-4.0,11,1.064905
-2.0,11,1.066167
-4.0,11,1.067766
-2.0,11,1.06931
-5.0,11,1.070837
-1.0,11,1.072012
-5.0,11,1.073555
-3.0,11,1.075086
-3.0,11,1.076575
-3.0,11,1.077647
-4.0,11,1.079153
-3.0,11,1.080648
-4.0,11,1.082176
-2.0,11,1.083285
-2.0,11,1.084791
-4.0,11,1.086302
-4.0,11,1.08779
-2.0,11,1.088867
-1.0,11,1.090379
-3.0,11,1.091902
-5.0,11,1.093396
-2.0,11,1.094478
-3.0,11,1.095981
-1.0,11,1.097467
-2.0,11,1.09901
-4.0,11,1.100118
-2.0,11,1.101604
-2.0,11,1.103106
-3.0,11,1.104572
-3.0,11,1.105659
-3.0,11,1.107163
-3.0,11,1.108664
-4.0,11,1.110157
-3.0,11,1.111245
-3.0,11,1.112722
-5.0,11,1.114184
-3.0,11,1.11571
-3.0,11,1.116804
-4.0,11,1.118285
-4.0,11,1.119765
-4.0,11,1.121265
-2.0,11,1.122354
-2.0,11,1.123875
-3.0,11,1.12539
-4.0,11,1.12685
-2.0,11,1.127967
-2.0,11,1.167818
-2.0,11,1.169689
-3.0,11,1.171728
-4.0,11,1.173026
-4.0,11,1.174818
-5.0,11,1.176806
-3.0,11,1.178632
-2.0,11,1.179923
-2.0,11,1.181542
-4.0,11,1.183449
-3.0,11,1.185103
-2.0,11,1.186236
-2.0,11,1.187777
-4.0,11,1.189324
-2.0,11,1.19094
-5.0,11,1.192162
-3.0,11,1.193728
-2.0,11,1.195259
-3.0,11,1.196801
-3.0,11,1.197889
-3.0,11,1.19946
-4.0,11,1.201154
-2.0,11,1.20276
-2.0,11,1.203895
-4.0,11,1.205367
-4.0,11,1.207043
-2.0,11,1.20864
-3.0,11,1.209775
-3.0,11,1.211368
-1.0,11,1.212962
-2.0,11,1.214489
-4.0,11,1.215667
-3.0,11,1.217219
-3.0,11,1.218824
-4.0,11,1.220421
-4.0,11,1.221517
-2.0,11,1.223016
-4.0,11,1.224628
-2.0,11,1.226138
-4.0,11,1.227257
-3.0,11,1.228765
-4.0,11,1.230263
-2.0,11,1.231759
-4.0,11,1.232928
-4.0,11,1.234438
-4.0,11,1.235929
-3.0,11,1.237414
-3.0,11,1.238493
-3.0,11,1.240006
-2.0,11,1.241538
-4.0,11,1.243035
